City,Library,Address,Zip,Phone,State
Dolgeville,Dolgeville-Manheim Public Library,24 North Main Street,13329,(315) 429-3421,New York
Dryden,The Southworth Library Association,24 West Main Street,13053,(607) 844-4782,New York
Dundee,Dundee Library,32 Water Street,14837,(607) 243-5938,New York
Dunkirk,Dunkirk Free Library,536 Central Avenue,14048,(716) 366-2511,New York
Earlville,Earlville Free Library,6 North Main Street,13332,(315) 691-5931,New York
East Aurora,Aurora Town Public Library,550 Main Street,14052,(716) 652-4440,New York
East Elmhurst,Queens Borough Public Library - East Elmhurst,95-06 Astoria Boulevard,11363,(718) 225-8414,New York
East Greenbush,East Greenbush Community Library,10 Community Way,12061,(518) 477-7476,New York
East Hampton,East Hampton Library,159 Main Street,11937,(631) 324-0222,New York
East Islip,East Islip Public Library,381 East Main Street,11730,(631) 581-9200,New York
East Meadow,East Meadow Public Library,1886 Front Street,11554,(516) 794-2570,New York
East Rochester,East Rochester Public Library,111 West Elm Street,14445,(585) 586-8302,New York
East Rockaway,East Rockaway Public Library,477 Atlantic Avenue,11518,(516) 599-1664,New York
East Syracuse,East Syracuse Free Library,4990 James Street,13057,(315) 437-4841,New York
East Williston,East Williston Public Library,2 Prospect Street,11596,(516) 741-1213,New York
Eastchester,Eastchester Public Library,11 Oakridge Place,10709,(914) 793-5055,New York
Eden,Eden Library,2901 East Church Street,14057,(716) 992-4028,New York
Edmeston,Edmeston Free Library,6 West Street,13335,(607) 965-8208,New York
Edwards,Hepburn Library Of Edwards,205 Main Street,13635,(315) 562-3521,New York
Elbridge,Elbridge Free Library,241 East Main Street,13060,(315) 689-7111,New York
Eldred,Sunshine Hall Free Library,14 Proctor Road,12732,(845) 557-6258,New York
Elizabethtown,Elizabethtown Library Association,8256 River Street,12932,(518) 873-2670,New York
Ellenburg Center,Ellenburg Center Reading Center,,12934,(518) 594-7489,New York
Ellenburg Depot,Ellenburg Sarah A. Munsil Free Library,5139 Route 11,12935,(518) 594-7314,New York
Ellenville,Ellenville Public Library And Museum,40 Center Street,12428,(845) 647-5530,New York
Ellicottville,Ellicottville Memorial Library,6499 Maples Road,14731,(716) 699-2842,New York
Ellington,Farman Free Library Association Of Ellington,760 Thornton Road,14732,(716) 287-2945,New York
Ellisburg,Ellisburg Free Library,12117 Nys Route 193,13636,(315) 846-5087,New York
Elma,Elma Public Library,1860 Bowen Road,14059,(716) 652-2719,New York
Elmhurst,Queens Borough Public Library - Elmhurst,86-01 Broadway,11373,(718) 271-1020,New York
Elmira,Chemung County Library District,101 East Church Street,14901,(607) 733-9173,New York
Elmira,Steele Memorial Library,101 East Church Street,14901,(607) 733-9173,New York
Elmira,West Elmira Library,1231 W. Water St,14905,(607) 733-0541,New York
Elmont,Elmont Public Library,700 Hempstead Turnpike,11003,(516) 354-5280,New York
Elmsford,Greenburgh Public Library,300 Tarrytown Road,10523,(914) 721-8200,New York
Elwood,Elwood Public Library,3027 Jericho Turnpike,11731,(631) 499-3722,New York
Endicott,George F. Johnson Memorial Library,1001 Park Street,13760,(607) 757-5350,New York
Essex,Belden Noble Memorial Library Of Essex,2759 Essex Rd.,12936,(518) 963-8079,New York
Evans Mills,Evans Mills Public Library,8706 Noble Street,13637,(315) 629-4483,New York
Fair Haven,Fair Haven Public Library,14426 South Richmond Ave,,(315) 947-5851,New York
Fair Haven,Village Of Fair Haven Public Library,14426 South Richmond Avenue,13064,(315) 947-5851,New York
Fairport,Fairport Public Library,1 Village Landing,14450,(585) 223-9091,New York
Fairport,Rochester Regional Library Council,390 Packetts Landing,14450,(585) 223-7570,New York
Falconer,Falconer Public Library,101 West Main Street,14733,(716) 665-3504,New York
Far Rockaway,Queens Borough Public Library - Far Rockaway,1637 Central Avenue,11691,(718) 327-2549,New York
Farmingdale,Farmingdale Public Library,116 Merritts Road,11735,(516) 249-9090,New York
Fayetteville,Fayetteville Free Library,300 Orchard Street,13066,(315) 637-6374,New York
Fillmore,Wide Awake Club Library,46 West Main St.,14735,(585) 567-8301,New York
Findley Lake,Alexander Findley Community Library,2883 North Road,14736,(716) 769-6568,New York
Findley Lake,Findley Lake Community Library,2883 North Road,14736,(716) 769-6568,New York
Fishers Island,Fishers Island Library Association,988 Oriental Avenue,6390,(631) 788-7362,New York
Fishkill,Blodgett Memorial Library District Of Fishkill,37 Broad Street,12524,(845) 896-9215,New York
Fleischmanns,Skene Memorial Library,1017 Main Street,12430,(845) 254-4581,New York
Floral Park,Floral Park Public Library,17 Caroline Place,11001,(516) 326-6330,New York
Florida,Florida Public Library,4 Cohen Circle,10921,(845) 651-7659,New York
Flushing,Queens Borough Public Library - Auburndale,25-55 Francis Lewis Boulevard,11358,(718) 352-2027,New York
Flushing,Queens Borough Public Library - East Flushing,196-36 Northern Boulevard,11358,(718) 357-6643,New York
Flushing,Queens Borough Public Library - Flushing,41-17 Main Street,11355,(718) 661-1200,New York
Flushing,Queens Borough Public Library - Hillcrest,187-05 Union Turnpike,11366,(718) 454-2786,New York
Flushing,Queens Borough Public Library - Kew Gardens Hills,72-33 Vleigh Place,11367,(718) 261-6654,New York
Flushing,Queens Borough Public Library - Mcgoldrick,155-06 Roosevelt Av.,11354,(718) 461-1616,New York
Flushing,Queens Borough Public Library - Mitchell-Linden,29-42 Union Street,11354,(718) 539-2330,New York
Flushing,Queens Borough Public Library - Pomonok,158-21 Jewel Avenue,11365,(718) 591-4343,New York
Flushing,Queens Borough Public Library - Queensboro Hill,60-05 Main Street,11355,(718) 359-8332,New York
Fonda,Frothingham Free Library,28 West Main Street,12068,(518) 853-3016,New York
Forest Hills,Queens Borough Public Library - Forest Hills,108-19 71 Avenue,11375,(718) 268-7934,New York
Forest Hills,Queens Borough Public Library - North Forest Park,98-27 Metropolitan Avenue,11375,(718) 261-5512,New York
Fort Edward,Fort Edward Free Library,23 East Street,12828,(518) 747-6743,New York
Fort Hunter,Fort Hunter Free Library,351 Main Street,12069,(518) 829-7248,New York
Fort Plain,Fort Plain Free Library,19 Willett Street,13339,(518) 993-4646,New York
Frankfort,Frankfort Free Library,123 South Frankfort Street,13340,(315) 894-9611,New York
Franklin,Franklin Free Library,334 Main Street,13775,(607) 829-2941,New York
Franklin Square,Franklin Square Public Library,19 Lincoln Road,11010,(516) 488-3444,New York
Franklinville,Blount Library,5 North Main Street,14737,(716) 676-5715,New York
Fredonia,Darwin R. Barker Library Association,7 Day Street,14063,(716) 672-8051,New York
Freeport,Freeport Memorial Library,144 West Merrick Road,11520,(516) 379-3274,New York
Fresh Meadows,Queens Borough Public Library - Fresh Meadows,193-20 Horace Harding Expressway,11365,(718) 454-7272,New York
Frewsburg,Myers Memorial Library,26 Ivory Street,14738,(716) 569-5515,New York
Friendship,Friendship Free Library,40 West Main Street,14739,(585) 973-7724,New York
Fulton,Fulton Public Library,160 South First Street,13069,(315) 592-5159,New York
Galway,Galway Public Library,5264 North Street,12074,(518) 882-6385,New York
Garden City,Adelphi University Library,P.O. Box 701,11530,(516) 877-3574,New York
Garden City,Garden City Public Library,60 Seventh Street,11530,(516) 742-8405,New York
Gardiner,Gardiner Library,133 Farmers Turnpike,12525,(845) 255-1255,New York
Garnerville,Haverstraw Kings Daughters Public Library - Rosman Center,10 West Ramapo Road,10923,(845) 786-3800,New York
Garrison,Alice Curtis Desmond Hamilton Fish Lib,472 Route 403,10524,(845) 424-3020,New York
Garrison,Desmond-Fish Library,472 Route 403,10524,(845) 424-3020,New York
Geneseo,Wadsworth Library,24 Center Street,14454,(585) 243-0440,New York
Geneva,Geneva Public Library,244 Main Street,14456,(315) 789-5303,New York
Germantown,Germantown Library,31 Palatine Park Road,12526,(518) 537-5800,New York
Gilbertsville,Gilbertsville Free Library,19 Commercial Street,13776,(607) 783-2832,New York
Glen Cove,Glen Cove Public Library,4 Glen Cove Avenue,11542,(516) 676-2130,New York
Glen Head,Gold Coast Public Library District,50 Railroad Avenue,11545,(516) 759-8300,New York
Glen Oaks,Queens Borough Public Library - Glen Oaks,256-04 Union Turnpike,11004,(718) 831-8636,New York
Glendale,Queens Borough Public Library - Glendale,78-60 73 Place,11385,(718) 821-4980,New York
Glens Falls,Crandall Public Library,251 Glen Street,12801,(518) 792-6508,New York
Glenville,Schenectady County Public Library - Glenville Branch,20 Glenridge Road,12302,(518) 386-2243,New York
Gloversville,Gloversville Public Library,58 East Fulton Street,12078,(518) 725-2819,New York
Gorham,Gorham Free Library,2664 Main Street,14461,(585) 526-6655,New York
Goshen,Goshen Public Library And Historical Society,203 Main Street,10924,(845) 294-6606,New York
Gouverneur,Reading Room Association Of Gouverneur,60 Church Street,13642,(315) 287-0191,New York
Gowanda,Gowanda Free Library,56 West Main Street,14070,(716) 532-3451,New York
Grafton,Grafton Community Library,2455 Ny Route 2,12082,(518) 279-0580,New York
Grahamsville,Daniel Pierce Library,328 Main Street,12740,(845) 985-7233,New York
Grand Island,Grand Island Memorial Library,1715 Bedell Road,14072,(716) 773-7124,New York
Granville,Pember Library Museum,33 West Main Street,12832,(518) 642-2525,New York
Great Neck,Great Neck Library,159 Bayview Avenue,11023,(516) 466-8055,New York
Greece,Barnard Crossing Branch,2 Vince Tofany Boulevard,14612,(585) 225-8951,New York
Greece,Greece Public Library,2 Vince Tofany Boulevard,14612,(585) 225-8951,New York
Greene,Moore Memorial Library,59 Genesee Street,13778,(607) 656-9349,New York
Greenlawn,Harborfields Public Library,31 Broadway,11740,(631) 757-4200,New York
Greenport,Floyd Memorial Library,539 First Street,11944,(631) 477-0660,New York
Greenville,Greenville Public Library,8 North Street,12083,(518) 966-8205,New York
Greenwich,Easton Library,1074 State Route 40,12834,(518) 692-2253,New York
Greenwich,Greenwich Free Library,148 Main Street,12834,(518) 692-7157,New York
Greenwood Lake,Greenwood Lake Public Library,79 Waterstone Road,10925,(845) 477-8377,New York
Groton,Groton Public Library,112 East Cortland Street,13073,(607) 898-5055,New York
Guilderland,Guilderland Public Library,2228 Western Avenue,12084,(518) 456-2400,New York
Haines Falls,Haines Falls Free Library,52 County Route 18,12436,(518) 589-5707,New York
Hamburg,Hamburg Library,102 Buffalo Street,14075,(716) 649-4415,New York
Hamilton,Hamilton Public Library,13 Broad Street,13346,(315) 824-3060,New York
Hamlin,Hamlin Public Library,422 Hamlin Clarkson Tl Rd.,14464,(585) 964-2320,New York
Hamlin,Town Of Hamlin Library,422 Clarkson Hamlin Tl Road,14464,(800) 662-1220,New York
Hammond,Hammond Free Library,17 Main Street,13646,(315) 324-5139,New York
Hammondsport,Fred And Harriet Taylor Memorial Library,21 William Street,14840,(607) 569-2045,New York
Hampton Bays,Hampton Bays Public Library,52 Ponquogue Avenue,11946,(631) 728-6241,New York
Hancock,Louise Adelia Read Memorial Library,104 Read Street,13783,(607) 637-2519,New York
Hannibal,Hannibal Free Library,162 Oswego Street,13074,(315) 564-5471,New York
Harrison,Harrison Public Library,2 Bruce Avenue,10528,(914) 835-0324,New York
Harrisville,Harrisville Free Library,8209 Main Street,13648,(315) 543-2577,New York
Hartwick,Kinney Memorial Library,3140 County Route 11,13348,(607) 293-6600,New York
Hastings-On-Hudson,Hastings-On-Hudson Public Library,7 Maple Avenue,10706,(914) 478-3307,New York
Hauppauge,Hauppauge Public Library,601 Veterans Memorial Hwy.,11788,(631) 979-1600,New York
Haverstraw,Haverstraw Kings Daughters Public Library - Village Branch,85 Main Street,10927,(845) 429-3445,New York
Hempstead,Hempstead Public Library,115 Nichols Court,11550,(516) 481-6990,New York
Henderson,Henderson Free Library,8939 Nys Route 178,13650,(315) 938-7169,New York
Herkimer,"Frank J. Basloe Library Of Herkimer, New York",245 North Main Street,13350,(315) 866-1733,New York
Hermon,Hepburn Library Of Hermon,105 Main Street,13652,(315) 347-2285,New York
Heuvelton,Heuvelton Free Library,57 State Street,13654,(315) 344-6550,New York
Hewlett,Hewlett-Woodmere Public Library,1125 Broadway,11557,(516) 374-1967,New York
Hicksville,Hicksville Free Public Library,169 Jerusalem Avenue,11801,(516) 931-1417,New York
Highland,Highland Public Library,30 Church Street,12528,(845) 691-2275,New York
Highland Falls,Highland Falls Library,298 Main Street,10928,(845) 446-3113,New York
Highland Mills,Woodbury Public Library,16 County Route 105,10930,(845) 928-6162,New York
Hillsdale,Roeliff Jansen Community Library Association,2609 Route 23,12529,(518) 325-4101,New York
Hilton,Parma Public Library,7 West Avenue,14468,(585) 392-8350,New York
Hogansburg,"Akwesasne Cultural Center, Inc.",321 State Route 37,13655,(518) 358-2240,New York
Holbrook,Sachem Public Library,150 Holbrook Road,11741,(631) 588-5024,New York
Holland Patent,Holland Patent Free Library,9580 Main Street,13354,(315) 865-5034,New York
Holley,Community Free Library,86 Public Square,14470,(585) 638-6987,New York
Hollis,Queens Borough Public Library - Hollis,202-05 Hillside Avenue,11423,(718) 465-7355,New York
Homer,Phillips Free Library,37 South Main Street,13077,(607) 749-4616,New York
Honeoye,Honeoye Public Library,8708 Main St.,14471,(585) 229-5020,New York
Honeoye Falls,Mendon Public Library,22 North Main Street,14472,(585) 624-6067,New York
Honeoye Falls,Town Of Mendon Public Library,15 Monroe Street,14472,(585) 624-6067,New York
Hoosick Falls,Cheney Library,77 Classic Street,12090,(518) 686-9401,New York
Hopewell Junction,Beekman Library,11town Center Blvd,12533,(845) 724-3414,New York
Hopewell Junction,East Fishkill Public Library District,348 Route 376,12533,(845) 221-9943,New York
Hornell,Hornell Public Library,64 Genesee Street,14843,(607) 324-1210,New York
Hornell,Howard Public Library,3607 County Route 70a,14843,(607) 566-2412,New York
Horseheads,Horseheads Free Library,405 S. Main St.,14845,(607) 739-4581,New York
Howard Beach,Queens Borough Public Library - Howard Beach,92-06 156 Avenue,11414,(718) 641-7086,New York
Hudson,Hudson Area Association Library,400 State Street,12534,(518) 828-1792,New York
Hudson Falls,Hudson Falls Free Library Association,220 Main Street,12839,(518) 747-6406,New York
Hunter,Hunter Public Library,6361 Main Street,12442,(518) 263-4655,New York
Huntington,Huntington Public Library,338 Main Street,11743,(631) 427-5165,New York
Huntington Statio,South Huntington Public Library,145 Pidgeon Hill Road,11746,(631) 549-4411,New York
Huntington Station,Huntington Public Library - Station Branch,1335 New York Avenue,11746,(631) 421-5053,New York
Hurley,Hurley Library District,44 Main Street,12443,(845) 338-2092,New York
Hyde Park,Hyde Park Free Library,2 Main Street,12538,(845) 229-7791,New York
Ilion,Ilion Free Public Library,78 West Street,13357,(315) 894-5028,New York
Indian Lake,Town Of Indian Lake Public Library,p.o. box 778,12842,(518) 648-5444,New York
Inlet,Town Of Inlet Public Library,164 North Route 28,13360,(315) 357-6494,New York
Interlaken,Interlaken Public Library,8390 Main Street,14847,(607) 532-4341,New York
Irving,Seneca Nation Of Indians Library Cattaraugus Territory,3 Thomas Indian School Drive,14081,(716) 532-9449,New York
Irvington,Irvington Pub Lib Guiteau Foundation,12 South Astor Street,10533,(914) 591-7840,New York
Island Park,Island Park Public Library,176 Long Beach Road,11558,(516) 432-0122,New York
Islip,Islip Public Library,71 Monell Avenue,11751,(631) 581-5933,New York
Ithaca,Finger Lakes Library System,119 E. Green St.,14850,(607) 273-4074,New York
Ithaca,Tompkins County Public Library,101 E Green Street,14850,(607) 272-4557,New York
Jackson Heights,Queens Borough Public Library - Jackson Heights,35-51 81 Street,11372,(718) 899-2500,New York
Jamaica,Queens Borough Public Library - Baisley Park,117-11 Sutphin Boulevard,11436,(718) 529-1590,New York
Jamaica,Queens Borough Public Library - Central Library,89-11 Merrick Boulevard,11432,(718) 990-0700,New York
Jamaica,Queens Borough Public Library - Rochdale Village,169-09 137 Avenue,11434,(718) 723-4440,New York
Jamaica,Queens Borough Public Library - South Jamaica,108-41 Guy R. Brewer Boulevard,11433,(718) 739-4088,New York
Jamestown,Chautauqua-Cattaraugus Library System,106 West Fifth Street,14701,(716) 484-7135,New York
Jamestown,Fluvanna Free Library,3532 Fluvanna Avenue Extension,14701,(716) 487-1773,New York
Jamestown,Hazeltine Public Library,891 Busti-Sugar Grove Road,14701,(716) 487-1281,New York
Jamestown,James Prendergast Library Association,509 Cherry Street,14701,(716) 484-7135,New York
Jasper,Jasper Free Library,3807 Library Street,14855,(607) 792-3494,New York
Jeffersonville,Western Sullivan Public Library - Jeffersonville Branch,19 Center Street,12748,(845) 482-4350,New York
Jericho,Jericho Public Library,1 Merry Lane,11753,(516) 935-6790,New York
Johnson City,Your Home Public Library,107 Main Street,13790,(607) 797-4816,New York
Johnstown,Johnstown Public Library,38 South Market Street,12095,(518) 762-8317,New York
Jordan,Jordan Bramley Library,15 Mechanic Street,13080,(315) 689-3296,New York
Jordanville,Jordanville Public Library,189 Main Street,13361,(315) 858-2874,New York
Katonah,Katonah Village Library,26 Bedford Road,10536,(914) 232-3508,New York
Keene,Keene Public Library,p.o. box 206,12942,(518) 576-2200,New York
Keene Valley,Keene Valley Public Library,1796 Main Street,12943,(518) 576-4335,New York
Keeseville,Keeseville Free Library,1721 Front Street,12944,(518) 834-9054,New York
Kenmore,Kenmore Branch,160 Delaware Road,14217,(716) 873-2861,New York
Kennedy,Kennedy Free Library,3593 Church Street,14747,(716) 267-4265,New York
Kent Lakes,Kent Public Library,17 Sybils Crossing,10512,(845) 225-8585,New York
Kinderhook,Kinderhook Memorial Library,18 Hudson Street,12106,(518) 758-6192,New York
Kingston,Kingston Library,55 Franklin Street,12401,(845) 331-0507,New York
Kingston,Town Of Ulster Public Library,860 Ulster Avenue,12401,(845) 338-7881,New York
Lackawanna,Lackawanna Public Library,560 Ridge Road,14218,(716) 823-0630,New York
Lafargeville,Orleans Public Library,36263 Nys Route 180,13656,(315) 658-2271,New York
Lafayette,Lafayette Public Library,2577 Route 11 North,13084,(315) 677-3782,New York
Lake George,Caldwell-Lake George Library,336 Canada Street,12845,(518) 668-2528,New York
Lake Luzerne,Hadley-Luzerne Public Library,19 Main Street,12846,(518) 696-3423,New York
Lake Placid,Lake Placid Public Library,2471 Main Street,12946,(518) 523-3200,New York
Lakewood,Lakewood Memorial Library,12 West Summit Street,14750,(716) 763-6234,New York
Lancaster,Lancaster Public Library,5466 Broadway,14086,(716) 683-1120,New York
Lansing,Lansing Community Library,27 Auburn Rd,14882,(607) 533-4939,New York
Larchmont,Larchmont Public Library,121 Larchmont Avenue,10538,(914) 834-2281,New York
Laurelton,Queens Borough Public Library - Laurelton,134-26 225 Street,11413,(718) 528-2822,New York
Lawrence,Peninsula Public Library,280 Central Avenue,11559,(516) 239-3262,New York
Leroy,Woodward Memorial Library,7 Wolcott Street,14482,(585) 768-8300,New York
Levittown,Island Trees Public Library,38 Farmedge Road,11756,(516) 731-2211,New York
Levittown,Levittown Public Library,1 Bluegrass Lane,11756,(516) 731-5728,New York
Lewiston,Lewiston Public Library,305 South Eighth Street,14092,(716) 754-4720,New York
Liberty,Liberty Public Library,189 North Main Street,12754,(845) 292-6070,New York
Lima,Lima Public Library,1872 Genesee Street,14485,(585) 582-1311,New York
Lindenhurst,Lindenhurst Memorial Library,,11757,(631) 957-7755,New York
Lisbon,Hepburn Library Of Lisbon,6899 County Route 10,13658,(315) 393-0111,New York
Lisle,Lisle Free Library,8998 Main Street,13797,(607) 692-3115,New York
Little Falls,Little Falls Public Library,10 Waverly Place,13365,(315) 823-1542,New York
Little Genesee,Genesee Library,8351 Main Street,14754,(585) 928-1915,New York
Little Neck,Queens Borough Public Library - Douglaston-Little Neck,249-01 Northern Boulevard,11363,(718) 225-8414,New York
Little Neck,Queens Borough Public Library - North Hills,57-04 Marathon Parkway,11362,(718) 225-3550,New York
Little Valley,Memorial Library Of Little Valley,110 Rock City Street,14755,(716) 938-6301,New York
Liverpool,Liverpool Public Library,310 Tulip Street,13088,(315) 457-0310,New York
Livingston,Livingston Free Library,90 Old Post Road,12541,(518) 851-2270,New York
Livingston Manor,Livingston Manor Free Library,92 Main Street,12758,(845) 439-5440,New York
Livonia,Livonia Public Library,2 Washington Street,14487,(585) 346-3450,New York
Lockport,Lockport Public Library,23 East Avenue,14094,(716) 433-5935,New York
Locust Valley,Locust Valley Library,170 Buckram Road,11560,(516) 671-1837,New York
Lodi,Lodi Whittier Library,2155 East Seneca Street,14860,(607) 582-6218,New York
Long Beach,Long Beach Public Library,111 West Park Avenue,11561,(516) 432-7201,New York
Long Island City,Briarcliffe College Library - Queens,"30-30 Thomson Ave., Suite 502",11101,,New York
Long Island City,Queens Borough Public Library - Broadway,40-20 Broadway,11103,(718) 721-2462,New York
Long Island City,Queens Borough Public Library - Court Square,25-01 Jackson Avenue,11101,(718) 937-2790,New York
Long Island City,Queens Borough Public Library - Long Island City,37-44 21 Street,11101,(718) 752-3700,New York
Long Island City,Queens Borough Public Library - Queensbridge Family Literacy Center,10-43 41 Ave,11101,(718) 661-1244,New York
Long Island City,Queens Borough Public Library - Ravenswood Family Literacy Center,35-32 21 St.,11106,,New York
Long Island City,Queens Borough Public Library - Sunnyside,43-06 Greenpoint Avenue,11104,(718) 728-1965,New York
Long Lake,Cornelius Vanderbilt Whitney Long Lake Library,1195 Main Street,12847,(518) 624-3825,New York
Loudonville,William K Sanford Town Library,629 Albany Shaker Road,12211,(518) 458-9274,New York
Lowville,Lowville Free Library,5387 Dayan Street,13367,(315) 376-2131,New York
Lynbrook,Lynbrook Public Library,56 Eldert Street,11563,(516) 599-8630,New York
Lyndonville,Yates Community Library,15 North Main Street,14098,(585) 765-9041,New York
Lyons,Lyons Public Library,122 Broad Street,14489,(315) 946-9262,New York
Lyons Falls,Lyons Falls Library,3918 High Street,13368,(315) 348-6180,New York
Macedon,Macedon Public Library,30 Main Street,14502,(315) 986-5932,New York
Machias,King Memorial Library,9538 Rt. 16,14101,(716) 353-9915,New York
Madrid,Hepburn Library Of Madrid,11 Church Street,13660,(315) 322-5673,New York
Mahopac,Mahopac Public Library,668 Route 6,10541,(845) 628-2009,New York
Malone,"The Wead Library, The Malone Central School District Public",64 Elm Street,12953,(518) 483-5251,New York
Malone,"Wead Library, Malone",64 Elm Street,12953,(518) 483-5251,New York
Malverne,Malverne Public Library,61 St. Thomas Place,11565,(516) 599-0750,New York
Mamaroneck,Mamaroneck Public Library District,102 Mamaroneck Ave.,10543,(914) 698-1250,New York
Manhasset,Manhasset Public Library,30 Onderdonk Avenue,11030,(516) 627-2300,New York
Manlius,Manlius Library,1 Arkie Albanese Avenue,13104,(315) 682-6400,New York
Mannsville,Mannsville Free Library,108 Lilac Park Drive,13661,(315) 465-4049,New York
Marathon,Peck Memorial Library,24 Main Street,13803,(607) 849-6135,New York
Marcellus,Marcellus Free Library,32 Maple Street,13108,(315) 673-3221,New York
Margaretville,Fairview Public Library,43 Walnut Street,12455,(845) 586-3791,New York
Marilla,Marilla Free Library,11637 Bullis Road,14102,(716) 652-7449,New York
Marion,Marion Public Library,4036 Maple Avenue,14505,(315) 926-4933,New York
Marlboro,Marlboro Free Library,1251 Route 9w,12542,(845) 236-7272,New York
Martinsburg,William H. Bush Memorial Library,5605 Whitaker Road,13404,(315) 376-7490,New York
Maspeth,Queens Borough Public Library - Maspeth,69-70 Grand Avenue,11378,(718) 639-5228,New York
Massapequa,Plainedge Public Library,1060 Hicksville Road,11758,(516) 735-4133,New York
Massapequa Park,Massapequa Public Library,40 Harbor Lane,11762,(516) 799-0770,New York
Massena,Massena Public Library,41 Glenn Street,13662,(315) 769-9914,New York
Mattituck,Mattituck-Laurel Library,13900 Main Road,11952,(631) 298-4134,New York
Mattydale,Salina Free Library,100 Belmont St.,13211,(315) 454-4524,New York
Mayville,Mayville Library,92 South Erie Street,14757,(716) 753-7362,New York
Mcgraw,Lamont Memorial Free Library,5 Main Street,13101,(607) 836-6767,New York
Mechanicville,Mechanicville District Public Library,190 North Main Street,12118,(518) 664-4646,New York
Medina,Lee-Whedon Memorial Library,620 West Avenue,14103,(585) 798-3430,New York
Menands,Menands Public Library,4 North Lyons Avenue,12204,(518) 463-4035,New York
Merrick,Merrick Library,2279 Merrick Avenue,11566,(516) 377-6112,New York
Mexico,Mexico Public Library,3269 Main Street,13114,(315) 963-3408,New York
Middle Island,Longwood Public Library,800 Middle Country Road,11953,(631) 924-6400,New York
Middle Village,Queens Borough Public Library - Middle Village,72-31 Metropolitan Avenue,11379,(718) 326-1390,New York
Middleburgh,Middleburgh Library,323 Main Street,12122,(518) 827-5142,New York
Middleport,Middleport Free Library,9 Vernon Street,14105,(716) 735-3281,New York
Middletown,Ramapo Catskill Library System,619 Rte 17m,10940,(845) 343-1131,New York
Middletown,Thrall Public Library District Of Middletown And Wallkill,11-19 Depot Street,10940,(845) 341-5454,New York
Middleville,Middleville Free Library,1 South Main Street,13406,(315) 891-3655,New York
Milford,Milford Free Library,64 South Main Street,13807,(607) 286-9076,New York
Millbrook,Millbrook Free Library,3 Friendly Lane,12545,(845) 677-3611,New York
Millerton,North East- Millerton Library,75 Main Street,12546,(518) 789-3340,New York
Milton,Sarah Hull Hallock Free Library,56-58 Main Street,12547,(845) 795-2200,New York
Mineola,Mineola Memorial Library,195 Marcellus Road,11501,(516) 746-8488,New York
Minoa,Minoa Library,242 N. Main Street,13116,(315) 656-7401,New York
Modena,Plattekill Public Library,2047 Route 32,12548,(845) 883-7286,New York
Mohawk,Weller Library,41 West Main Street,13407,(315) 866-2983,New York
Monroe,Monroe Free Library,44 Millpond Parkway,10950,(845) 783-4411,New York
Montauk,Montauk Library,871 Montauk Highway,11954,(631) 668-3377,New York
Montgomery,Montgomery Free Library,133 Clinton Street,12549,(845) 457-5616,New York
Monticello,Ethelbert B. Crawford Public Library,393 Broadway,12701,(845) 794-4660,New York
Montour Falls,Montour Falls Memorial Library,406 Main Street,14865,(607) 535-7489,New York
Montrose,Hendrick Hudson Free Library,185 Kings Ferry Road,10548,(914) 739-5654,New York
Mooers,Mooers Free Library,"2430 Route 11, Main Street",12958,(518) 236-7744,New York
Moravia,Powers Library,29 Church Street,13118,(315) 497-1955,New York
Morris,Village Library Of Morris,152 Main Street,13808,(607) 263-2080,New York
Morristown,Morristown Public Library,200 Main Street,13664,(315) 375-8833,New York
Morrisville,Morrisville Public Library,87 East Main Street,13408,(315) 684-9130,New York
Mount Kisco,Mount Kisco Public Library,55 Maple Avenue,10549,(914) 666-8041,New York
Mount Morris,Mount Morris Library,121 Main Street,14510,(585) 658-4412,New York
Mount Vernon,Mount Vernon Public Library,28 South First Avenue,10550,(914) 668-1840,New York
Mumford,Mumford Branch Library,883 George Street,,(585) 538-6124,New York
Nanuet,Nanuet Public Library,149 Church Street,10954,(845) 623-4281,New York
Naples,Naples Library,118 South Main Street,14512,(585) 374-2757,New York
Narrowsburg,Western Sullivan Public Library - Tusten-Cochecton Branch,198 Bridge Street,12764,(845) 252-3360,New York
Nassau,Nassau Free Library,18 Church Street,12123,(518) 766-2715,New York
New Berlin,New Berlin Library,15 South Main Street,13411,(607) 847-8564,New York
New City,Library Association Of Rockland County,P.O. Box 917,10956,(845) 268-7700,New York
New City,New City Free Library,220 North Main Street,10956,(845) 634-4997,New York
New Hartford,New Hartford Public Library,2 Library Lane,13413,(315) 733-1535,New York
New Hyde Park,Hillside Public Library Of New Hyde Park,155 Lakeville Road,11040,(516) 355-7850,New York
New Lebanon,New Lebanon Library,550 Route 20,12125,(518) 794-8844,New York
New Paltz,Elting Memorial Library,93 Main Street,12561,(845) 255-5030,New York
New Rochelle,New Rochelle Public Library,,10801,(914) 632-7878,New York
New Woodstock,New Woodstock Free Library,2106 Main Street,13122,(315) 662-3134,New York
New York,115th Street Library,203 West 115th Street,10026,(212) 666-9393,New York
New York,125th Street Library,224 East 125th Street,10035,(212) 534-5050,New York
New York,58th Street Library,127 East 58th Street,10022,(212) 759-7358,New York
New York,67th Street Library,328 East 67th Street,10065,(212) 734-1717,New York
New York,96th Street Library,112 East 96th Street,10128,(212) 289-0908,New York
New York,Aguilar Library,174 East 110th Street,10029,(212) 534-2930,New York
